model_name,F1,Recall,Precision
KNN,0.50260439087387,0.5279328977414031,0.4795949803857134
Decision_Tree,0.3996291806318192,0.3167461734982252,0.5412610106629578
Logistic_Regression,0.3463699122901009,0.2557934480341842,0.5362593610768793
Random_Forest,0.4031418808750762,0.32142614908096134,0.5405703422053232
